year,start_15,end_15,start_15_j,end_15_j,ice_off_date,ice_on_date,ice_off_j,ice_on_j
2012,2012-06-25,2012-09-10,177,254,2012-05-25,2012-10-31,NA,305
2013,2013-06-22,2013-08-29,173,241,2013-05-27,2013-11-09,147,313
2014,2014-06-20,2014-08-26,171,238,2014-05-29,2014-11-10,149,NA
