Name,Latitude,Longitude,Device,Device Depth,Start Time,STZ,End Time,ETZ,Download,Remove
R12,62.67998123,-114.1042243,VR2W-120498,5.6,2012-10-27 0:18,0,2012-12-01 0:00,0,4a,N
R12,62.67998123,-114.1042243,VR2W-120498,5.6,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R12,62.67998123,-114.1042243,VR2W-120498,5.6,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R12,62.67998123,-114.1042243,VR2W-120498,5.6,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R12,62.67998123,-114.1042243,VR2W-120498,5.6,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R12,62.67998123,-114.1042243,VR2W-120498,5.6,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R12,62.67998123,-114.1042243,VR2W-120498,5.6,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R13,62.67773,-114.10561,VR2W-120490,30.8,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R13,62.67769812,-114.1055402,VR2W-120490,30,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R13,62.67760305,-114.105567,VR2W-120490,29.6,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R13,62.67764293,-114.1056709,VR2W-120490,29.8,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R13,62.67763321,-114.1056424,VR2W-120490,29.8,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R13,62.67767561,-114.1057759,VR2W-120490,29.8,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R13,62.67776719,-114.1054922,VR2W-120490,30,2012-10-27 0:18,0,2012-12-01 0:00,0,4a,N
R13,62.67776719,-114.1054922,VR2W-120490,30,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R13,62.67776719,-114.1054922,VR2W-120490,30,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R13,62.67776719,-114.1054922,VR2W-120490,30,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R13,62.67776719,-114.1054922,VR2W-120490,30,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R13,62.67776719,-114.1054922,VR2W-120490,30,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R13,62.67776719,-114.1054922,VR2W-120490,30,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R14,62.67969,-114.10918,VR2W-120503,13.2,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R14,62.67974625,-114.1087567,VR2W-120503,12.5,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R14,62.67953586,-114.1090916,VR2W-120503,13.1,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R14,62.67958397,-114.1090952,VR2W-120503,13.2,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R14,62.67961856,-114.1090975,VR2W-120503,13.2,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R14,62.67967525,-114.1091751,VR2W-120503,13.2,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R14,62.67962125,-114.108979,VR2W-120503,12.5,2012-10-27 0:18,0,2012-12-01 0:00,0,4a,N
R14,62.67962125,-114.108979,VR2W-120503,12.5,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R14,62.67962125,-114.108979,VR2W-120503,12.5,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R14,62.67962125,-114.108979,VR2W-120503,12.5,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R14,62.67962125,-114.108979,VR2W-120503,12.5,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R14,62.67962125,-114.108979,VR2W-120503,12.5,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R14,62.67962125,-114.108979,VR2W-120503,12.5,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R15,62.67841,-114.10978,VR2W-120458,22,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R15,62.67837917,-114.1097458,VR2W-120458,17.2,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R15,62.67828237,-114.1096634,VR2W-120458,18.3,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R15,62.67837487,-114.1097994,VR2W-120458,20.6,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R15,62.67837346,-114.1097812,VR2W-120458,20.6,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R15,62.67834957,-114.1098651,VR2W-120458,20.6,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R15,62.67845854,-114.1097164,VR2W-120458,17.2,2012-10-27 0:18,0,2012-12-01 0:00,0,4a,N
R15,62.67845854,-114.1097164,VR2W-120458,17.2,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R15,62.67845854,-114.1097164,VR2W-120458,17.2,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R15,62.67845854,-114.1097164,VR2W-120458,17.2,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R15,62.67845854,-114.1097164,VR2W-120458,17.2,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R15,62.67845854,-114.1097164,VR2W-120458,17.2,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R15,62.67845854,-114.1097164,VR2W-120458,17.2,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R16,62.67828,-114.11361,VR2W-120472,4.6,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R16,62.67823831,-114.1134944,VR2W-120472,4.5,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R16,62.67805921,-114.1136797,VR2W-120472,6,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R16,62.67818154,-114.1139074,VR2W-120472,5.8,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R16,62.67817497,-114.1139329,VR2W-120472,5.8,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R16,62.67819247,-114.1136901,VR2W-120472,5.8,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R16,62.67834352,-114.1135188,VR2W-120472,4.5,2012-10-27 0:18,0,2012-12-01 0:00,0,4a,N
R16,62.67834352,-114.1135188,VR2W-120472,4.5,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R16,62.67834352,-114.1135188,VR2W-120472,4.5,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R16,62.67834352,-114.1135188,VR2W-120472,4.5,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R16,62.67834352,-114.1135188,VR2W-120472,4.5,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R16,62.67834352,-114.1135188,VR2W-120472,4.5,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R16,62.67834352,-114.1135188,VR2W-120472,4.5,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R17,62.6773,-114.11091,VR2W-120502,10.2,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R17,62.67722895,-114.1107533,VR2W-120502,9,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R17,62.67715953,-114.1108034,VR2W-120502,10.3,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R17,62.67725706,-114.1110163,VR2W-120502,10.9,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R17,62.67723303,-114.1110119,VR2W-120502,10.9,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R17,62.67728121,-114.1109995,VR2W-120502,10.9,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R17,62.67729294,-114.1107987,VR2W-120502,9,2012-10-27 0:18,0,2012-12-01 0:00,0,4a,N
R17,62.67729294,-114.1107987,VR2W-120502,9,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R17,62.67729294,-114.1107987,VR2W-120502,9,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R17,62.67729294,-114.1107987,VR2W-120502,9,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R17,62.67729294,-114.1107987,VR2W-120502,9,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R17,62.67729294,-114.1107987,VR2W-120502,9,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R17,62.67729294,-114.1107987,VR2W-120502,9,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R18,62.67583,-114.10753,VR2W-120499,13.6,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R18,62.6758697,-114.1074711,VR2W-120499,13.4,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R18,62.67579825,-114.1074177,VR2W-120499,12.9,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R18,62.67589513,-114.1076259,VR2W-120499,13.8,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R18,62.67590529,-114.1075668,VR2W-120499,13.8,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R18,62.67587414,-114.1077072,VR2W-120499,13.8,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R18,62.67594611,-114.1074405,VR2W-120499,13.4,2012-10-27 0:18,0,2012-10-30 4:39,0,4a,Y
R18,62.67561204,-114.1070673,VR2W-120499,13.4,2012-10-30 10:19,0,2012-12-01 0:00,0,4a,N
R18,62.67561204,-114.1070673,VR2W-120499,13.4,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R18,62.67561204,-114.1070673,VR2W-120499,13.4,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R18,62.67561204,-114.1070673,VR2W-120499,13.4,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R18,62.67561204,-114.1070673,VR2W-120499,13.4,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R18,62.67561204,-114.1070673,VR2W-120499,13.4,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R18,62.67561204,-114.1070673,VR2W-120499,13.4,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R19,62.67574,-114.10246,VR2W-120491,28.5,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R19,62.67570749,-114.102294,VR2W-120491,28,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R19,62.67574525,-114.1022774,VR2W-120491,29,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R19,62.67568922,-114.1025725,VR2W-120491,28,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R19,62.67569346,-114.102567,VR2W-120491,28,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R19,62.67573288,-114.1025075,VR2W-120491,28,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R19,62.6757733,-114.1022295,VR2W-120491,28,2012-10-27 0:18,0,2012-10-30 14:43,0,4a,Y
R19,62.67578384,-114.1016371,VR2W-120491,28,2012-10-30 18:55,0,2012-12-01 0:00,0,4a,N
R19,62.67578384,-114.1016371,VR2W-120491,28,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R19,62.67578384,-114.1016371,VR2W-120491,28,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R19,62.67578384,-114.1016371,VR2W-120491,28,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R19,62.67578384,-114.1016371,VR2W-120491,28,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R19,62.67578384,-114.1016371,VR2W-120491,28,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R19,62.67578384,-114.1016371,VR2W-120491,28,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R2,62.68354,-114.09842,VR2W-120515,12.9,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R2,62.68353481,-114.0983778,VR2W-120515,12.2,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R2,62.68349075,-114.0982562,VR2W-120515,10.9,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R2,62.68351848,-114.0990824,VR2W-120515,12.2,2012-10-27 0:18,0,2012-10-30 7:20,0,4a,Y
R2,62.68344103,-114.0984205,VR2W-120515,12.2,2012-10-30 16:31,0,2012-12-01 0:00,0,4a,N
R2,62.68344103,-114.0984205,VR2W-120515,12.2,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R2,62.68344103,-114.0984205,VR2W-120515,12.2,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R2,62.68344103,-114.0984205,VR2W-120515,12.2,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R2,62.68344103,-114.0984205,VR2W-120515,12.2,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R2,62.68344103,-114.0984205,VR2W-120515,12.2,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R2,62.68344103,-114.0984205,VR2W-120515,12.2,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R2,62.68356782,-114.098426,VR2W-120515,11.9,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R2,62.68353907,-114.0984264,VR2W-120515,11.9,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R2,62.68355283,-114.0985093,VR2W-120515,11.9,2014-06-20 6:00,0,2014-09-24 17:32,0,8,N
R2,62.68355283,-114.0985093,VR2W-120515,11.9,2014-09-24 20:07,0,2014-09-25 16:00,0,8,Y
R20,62.67327,-114.1052,VR2W-120521,10.2,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R20,62.67326272,-114.1050713,VR2W-120521,11.5,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R20,62.67323444,-114.104787,VR2W-120521,11.2,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R20,62.6732391,-114.1051424,VR2W-120521,12.3,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R20,62.67322946,-114.1051691,VR2W-120521,12.3,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R20,62.67324035,-114.1050149,VR2W-120521,12.3,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R20,62.67330697,-114.105064,VR2W-120521,11.5,2012-10-27 0:18,0,2012-10-30 6:46,0,4a,Y
R20,62.6732551,-114.1049615,VR2W-120521,11.5,2012-10-30 7:41,0,2012-12-01 0:00,0,4a,N
R20,62.6732551,-114.1049615,VR2W-120521,11.5,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R20,62.6732551,-114.1049615,VR2W-120521,11.5,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R20,62.6732551,-114.1049615,VR2W-120521,11.5,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R20,62.6732551,-114.1049615,VR2W-120521,11.5,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R20,62.6732551,-114.1049615,VR2W-120521,11.5,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R20,62.6732551,-114.1049615,VR2W-120521,11.5,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R21,62.67748,-114.08938,VR2W-119898,2.2,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R21,62.67748972,-114.0894437,VR2W-119898,2,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R21,62.67754199,-114.0894289,VR2W-119898,2.6,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R21,62.67754427,-114.0895715,VR2W-119898,2.3,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R21,62.67750574,-114.0894404,VR2W-119898,2.3,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R21,62.67758688,-114.0895741,VR2W-119898,2.3,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R21,62.67682241,-114.0898685,VR2W-119898,2,2012-10-27 0:18,0,2012-12-01 0:00,0,4a,N
R21,62.67682241,-114.0898685,VR2W-119898,2,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R21,62.67682241,-114.0898685,VR2W-119898,2,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R21,62.67682241,-114.0898685,VR2W-119898,2,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R21,62.67682241,-114.0898685,VR2W-119898,2,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R21,62.67682241,-114.0898685,VR2W-119898,2,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R21,62.67682241,-114.0898685,VR2W-119898,2,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R22,62.67147,-114.10379,VR2W-120489,3.4,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R22,62.67151831,-114.1036001,VR2W-120489,4,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R22,62.67145619,-114.1032186,VR2W-120489,4,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R22,62.6715218,-114.1036246,VR2W-120489,3.9,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R22,62.67150343,-114.1036305,VR2W-120489,3.9,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R22,62.67149825,-114.1035661,VR2W-120489,3.9,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R22,62.67152621,-114.1035613,VR2W-120489,4,2012-10-27 0:18,0,2012-10-30 7:32,0,4a,Y
R22,62.67143379,-114.1029966,VR2W-120489,4,2012-10-30 13:41,0,2012-12-01 0:00,0,4a,N
R22,62.67143379,-114.1029966,VR2W-120489,4,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R22,62.67143379,-114.1029966,VR2W-120489,4,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R22,62.67143379,-114.1029966,VR2W-120489,4,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R22,62.67143379,-114.1029966,VR2W-120489,4,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R22,62.67143379,-114.1029966,VR2W-120489,4,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R22,62.67143379,-114.1029966,VR2W-120489,4,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R23,62.67261,-114.0994,VR2W-120488,12.7,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R23,62.67262371,-114.0993555,VR2W-120488,12.3,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R23,62.67265014,-114.0991828,VR2W-120488,17,2013-06-11 1:00,0,2013-09-24 14:51,0,5,N
R23,62.67262861,-114.0994603,VR2W-120488,14.2,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R23,62.67262213,-114.0994426,VR2W-120488,14.2,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R23,62.67258902,-114.0994745,VR2W-120488,14.2,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R23,62.67266167,-114.0992418,VR2W-120488,12.3,2012-10-27 0:18,0,2012-10-30 7:34,0,4a,Y
R23,62.67247432,-114.098803,VR2W-120488,12.3,2012-10-30 9:40,0,2012-12-01 0:00,0,4a,N
R23,62.67247432,-114.098803,VR2W-120488,12.3,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R23,62.67247432,-114.098803,VR2W-120488,12.3,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R23,62.67247432,-114.098803,VR2W-120488,12.3,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R23,62.67247432,-114.098803,VR2W-120488,12.3,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R23,62.67247432,-114.098803,VR2W-120488,12.3,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R23,62.67247432,-114.098803,VR2W-120488,12.3,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R24,62.6747,-114.09691,VR2W-120511,11.3,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R24,62.67468512,-114.09688,VR2W-120511,11.2,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R24,62.67477928,-114.0966345,VR2W-120511,12,2013-06-11 1:00,0,2013-06-30 14:34,0,5,Y
R24,62.67479282,-114.0966893,VR2W-120511,12,2013-07-01 7:42,0,2013-09-24 14:51,0,5,N
R24,62.67472912,-114.0970463,VR2W-120511,12.5,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R24,62.67473872,-114.0970009,VR2W-120511,12.5,2013-11-01 0:00,0,2014-06-11 23:00,0,7,N
R24,62.67467139,-114.0970548,VR2W-120511,12.5,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R24,62.67474923,-114.0967876,VR2W-120511,11.2,2012-10-27 0:18,0,2012-10-30 16:27,0,4a,Y
R24,62.67449863,-114.0967425,VR2W-120511,11.2,2012-10-30 17:30,0,2012-12-01 0:00,0,4a,N
R24,62.67449863,-114.0967425,VR2W-120511,11.2,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
R24,62.67449863,-114.0967425,VR2W-120511,11.2,2013-01-01 0:00,0,2013-02-01 0:00,0,4c,N
R24,62.67449863,-114.0967425,VR2W-120511,11.2,2013-02-01 0:00,0,2013-03-01 0:00,0,4d,N
R24,62.67449863,-114.0967425,VR2W-120511,11.2,2013-03-01 0:00,0,2013-04-01 0:00,0,4e,N
R24,62.67449863,-114.0967425,VR2W-120511,11.2,2013-04-01 0:00,0,2013-05-01 0:00,0,4f,N
R24,62.67449863,-114.0967425,VR2W-120511,11.2,2013-05-01 0:00,0,2013-05-25 6:00,0,4g,N
R25,62.67592,-114.09236,VR2W-119855,12.1,2012-06-28 6:30,0,2012-09-11 17:30,0,2,N
R25,62.67591885,-114.0923831,VR2W-119855,11.8,2012-09-14 3:30,0,2012-10-27 0:18,0,3,N
R25,62.67590079,-114.0922672,VR2W-122316,12.5,2013-09-28 0:00,0,2013-11-01 0:00,0,6,N
R25,62.67588646,-114.0924716,VR2W-122316,12.5,2013-11-01 0:00,0,2014-01-08 6:00,0,7,N
R25,62.67587331,-114.09239,VR2W-119855,12.5,2014-01-08 6:00,0,2014-06-11 23:00,0,7,N
R25,62.67588755,-114.0924071,VR2W-119855,12.5,2014-06-20 6:00,0,2014-09-25 16:00,0,8,N
R25,62.67598368,-114.0924158,VR2W-119855,11.8,2012-10-27 0:18,0,2012-12-01 0:00,0,4a,N
R25,62.67598368,-114.0924158,VR2W-119855,11.8,2012-12-01 0:00,0,2013-01-01 0:00,0,4b,N
