"fish_id","fork_length","mass","date_tagged"
"NP-1",667,1682,2012-06-14
"NP-2",719,1741.2,2012-06-14
"NP-3",702,2152,2012-06-14
"NP-4",768,2684,2012-06-15
"NP-5",939,NA,2012-06-16
"NP-6",873,5700,2012-09-17
"NP-7",888,5400,2012-09-17
"NP-8",640,2000,2012-09-17
"NP-9",565,1200,2012-09-17
"NP-10",687,2250,2012-09-17
